traceid,label,activity,anomaly_type,anomaly_details
1,normal,START,,
1,normal,F,,
1,normal,L,,
1,normal,M,,
1,normal,Q,,
1,normal,O,,
1,normal,N,,
1,normal,P,,
1,normal,R,,
1,normal,S,,
1,normal,T,,
1,normal,U,,
1,normal,END,,
2,normal,START,,
2,normal,F,,
2,normal,G,,
2,normal,M,,
2,normal,O,,
2,normal,Q,,
2,normal,N,,
2,normal,P,,
2,normal,R,,
2,normal,S,,
2,normal,T,,
2,normal,U,,
2,normal,END,,
3,anomaly,START,activity_insertion,"{'index': 2, 'activity': 'I'}"
3,anomaly,F,activity_insertion,"{'index': 2, 'activity': 'I'}"
3,anomaly,I,activity_insertion,"{'index': 2, 'activity': 'I'}"
3,anomaly,L,activity_insertion,"{'index': 2, 'activity': 'I'}"
3,anomaly,M,activity_insertion,"{'index': 2, 'activity': 'I'}"
3,anomaly,P,activity_insertion,"{'index': 2, 'activity': 'I'}"
3,anomaly,N,activity_insertion,"{'index': 2, 'activity': 'I'}"
3,anomaly,O,activity_insertion,"{'index': 2, 'activity': 'I'}"
3,anomaly,Q,activity_insertion,"{'index': 2, 'activity': 'I'}"
3,anomaly,R,activity_insertion,"{'index': 2, 'activity': 'I'}"
3,anomaly,S,activity_insertion,"{'index': 2, 'activity': 'I'}"
3,anomaly,T,activity_insertion,"{'index': 2, 'activity': 'I'}"
3,anomaly,U,activity_insertion,"{'index': 2, 'activity': 'I'}"
3,anomaly,END,activity_insertion,"{'index': 2, 'activity': 'I'}"
4,anomaly,START,activity_switching,"{'index1': 6, 'index2': 12, 'activity1': 'P', 'activity2': 'U'}"
4,anomaly,F,activity_switching,"{'index1': 6, 'index2': 12, 'activity1': 'P', 'activity2': 'U'}"
4,anomaly,J,activity_switching,"{'index1': 6, 'index2': 12, 'activity1': 'P', 'activity2': 'U'}"
4,anomaly,K,activity_switching,"{'index1': 6, 'index2': 12, 'activity1': 'P', 'activity2': 'U'}"
4,anomaly,M,activity_switching,"{'index1': 6, 'index2': 12, 'activity1': 'P', 'activity2': 'U'}"
4,anomaly,O,activity_switching,"{'index1': 6, 'index2': 12, 'activity1': 'P', 'activity2': 'U'}"
4,anomaly,U,activity_switching,"{'index1': 6, 'index2': 12, 'activity1': 'P', 'activity2': 'U'}"
4,anomaly,N,activity_switching,"{'index1': 6, 'index2': 12, 'activity1': 'P', 'activity2': 'U'}"
4,anomaly,Q,activity_switching,"{'index1': 6, 'index2': 12, 'activity1': 'P', 'activity2': 'U'}"
4,anomaly,R,activity_switching,"{'index1': 6, 'index2': 12, 'activity1': 'P', 'activity2': 'U'}"
4,anomaly,S,activity_switching,"{'index1': 6, 'index2': 12, 'activity1': 'P', 'activity2': 'U'}"
