traceid,label,activity,anomaly_type,anomaly_details
1,normal,START,,
1,normal,F,,
1,normal,L,,
1,normal,M,,
1,normal,Q,,
1,normal,O,,
1,normal,N,,
1,normal,P,,
1,normal,R,,
1,normal,S,,
1,normal,T,,
1,normal,U,,
1,normal,END,,
2,anomaly,START,skipping_activity,"{'index': 3, 'activity': 'M'}"
2,anomaly,F,skipping_activity,"{'index': 3, 'activity': 'M'}"
2,anomaly,G,skipping_activity,"{'index': 3, 'activity': 'M'}"
2,anomaly,O,skipping_activity,"{'index': 3, 'activity': 'M'}"
2,anomaly,Q,skipping_activity,"{'index': 3, 'activity': 'M'}"
2,anomaly,N,skipping_activity,"{'index': 3, 'activity': 'M'}"
2,anomaly,P,skipping_activity,"{'index': 3, 'activity': 'M'}"
2,anomaly,R,skipping_activity,"{'index': 3, 'activity': 'M'}"
2,anomaly,S,skipping_activity,"{'index': 3, 'activity': 'M'}"
2,anomaly,T,skipping_activity,"{'index': 3, 'activity': 'M'}"
2,anomaly,U,skipping_activity,"{'index': 3, 'activity': 'M'}"
2,anomaly,END,skipping_activity,"{'index': 3, 'activity': 'M'}"
3,normal,START,,
3,normal,F,,
3,normal,L,,
3,normal,M,,
3,normal,P,,
3,normal,N,,
3,normal,O,,
3,normal,Q,,
3,normal,R,,
3,normal,S,,
3,normal,T,,
3,normal,U,,
3,normal,END,,
4,normal,START,,
4,normal,F,,
4,normal,J,,
4,normal,K,,
4,normal,M,,
4,normal,O,,
4,normal,P,,
4,normal,N,,
4,normal,Q,,
4,normal,R,,
4,normal,S,,
4,normal,T,,
4,normal,U,,
4,normal,END,,
5,normal,START,,
5,normal,F,,
5,normal,J,,
5,normal,K,,
5,normal,M,,
5,normal,N,,
5,normal,P,,
5,normal,O,,
5,normal,Q,,
5,normal,R,,
5,normal,S,,
5,normal,T,,
5,normal,U,,
5,normal,END,,
6,normal,START,,
6,normal,F,,
6,normal,G,,
6,normal,M,,
6,normal,Q,,
6,normal,P,,
6,normal,N,,
6,normal,O,,
6,normal,R,,
6,normal,S,,
6,normal,T,,
6,normal,U,,
6,normal,END,,
7,normal,START,,
7,normal,F,,
7,normal,L,,
7,normal,M,,
7,normal,Q,,
7,normal,P,,
7,normal,N,,
7,normal,O,,
7,normal,R,,
7,normal,S,,
7,normal,T,,
7,normal,U,,
7,normal,END,,
8,normal,START,,
8,normal,F,,
8,normal,G,,
8,normal,M,,
8,normal,N,,
8,normal,O,,
8,normal,P,,
8,normal,Q,,
8,normal,R,,
8,normal,S,,
8,normal,T,,
8,normal,U,,
8,normal,END,,
9,normal,START,,
9,normal,F,,
9,normal,J,,
9,normal,K,,
9,normal,M,,
9,normal,N,,
9,normal,Q,,
