traceid,label,activity,anomaly_type,anomaly_details
1,anomaly,START,activity_switching,"{'index1': 9, 'index2': 5, 'activity1': 'S', 'activity2': 'O'}"
1,anomaly,F,activity_switching,"{'index1': 9, 'index2': 5, 'activity1': 'S', 'activity2': 'O'}"
1,anomaly,L,activity_switching,"{'index1': 9, 'index2': 5, 'activity1': 'S', 'activity2': 'O'}"
1,anomaly,M,activity_switching,"{'index1': 9, 'index2': 5, 'activity1': 'S', 'activity2': 'O'}"
1,anomaly,Q,activity_switching,"{'index1': 9, 'index2': 5, 'activity1': 'S', 'activity2': 'O'}"
1,anomaly,S,activity_switching,"{'index1': 9, 'index2': 5, 'activity1': 'S', 'activity2': 'O'}"
1,anomaly,N,activity_switching,"{'index1': 9, 'index2': 5, 'activity1': 'S', 'activity2': 'O'}"
1,anomaly,P,activity_switching,"{'index1': 9, 'index2': 5, 'activity1': 'S', 'activity2': 'O'}"
1,anomaly,R,activity_switching,"{'index1': 9, 'index2': 5, 'activity1': 'S', 'activity2': 'O'}"
1,anomaly,O,activity_switching,"{'index1': 9, 'index2': 5, 'activity1': 'S', 'activity2': 'O'}"
1,anomaly,T,activity_switching,"{'index1': 9, 'index2': 5, 'activity1': 'S', 'activity2': 'O'}"
1,anomaly,U,activity_switching,"{'index1': 9, 'index2': 5, 'activity1': 'S', 'activity2': 'O'}"
1,anomaly,END,activity_switching,"{'index1': 9, 'index2': 5, 'activity1': 'S', 'activity2': 'O'}"
2,anomaly,START,activity_switching,"{'index1': 9, 'index2': 6, 'activity1': 'S', 'activity2': 'N'}"
2,anomaly,F,activity_switching,"{'index1': 9, 'index2': 6, 'activity1': 'S', 'activity2': 'N'}"
2,anomaly,G,activity_switching,"{'index1': 9, 'index2': 6, 'activity1': 'S', 'activity2': 'N'}"
2,anomaly,M,activity_switching,"{'index1': 9, 'index2': 6, 'activity1': 'S', 'activity2': 'N'}"
2,anomaly,O,activity_switching,"{'index1': 9, 'index2': 6, 'activity1': 'S', 'activity2': 'N'}"
2,anomaly,Q,activity_switching,"{'index1': 9, 'index2': 6, 'activity1': 'S', 'activity2': 'N'}"
2,anomaly,S,activity_switching,"{'index1': 9, 'index2': 6, 'activity1': 'S', 'activity2': 'N'}"
2,anomaly,P,activity_switching,"{'index1': 9, 'index2': 6, 'activity1': 'S', 'activity2': 'N'}"
2,anomaly,R,activity_switching,"{'index1': 9, 'index2': 6, 'activity1': 'S', 'activity2': 'N'}"
2,anomaly,N,activity_switching,"{'index1': 9, 'index2': 6, 'activity1': 'S', 'activity2': 'N'}"
2,anomaly,T,activity_switching,"{'index1': 9, 'index2': 6, 'activity1': 'S', 'activity2': 'N'}"
2,anomaly,U,activity_switching,"{'index1': 9, 'index2': 6, 'activity1': 'S', 'activity2': 'N'}"
2,anomaly,END,activity_switching,"{'index1': 9, 'index2': 6, 'activity1': 'S', 'activity2': 'N'}"
3,normal,START,,
3,normal,F,,
3,normal,L,,
3,normal,M,,
3,normal,P,,
3,normal,N,,
3,normal,O,,
3,normal,Q,,
3,normal,R,,
3,normal,S,,
3,normal,T,,
3,normal,U,,
3,normal,END,,
4,normal,START,,
4,normal,F,,
4,normal,J,,
4,normal,K,,
4,normal,M,,
4,normal,O,,
4,normal,P,,
4,normal,N,,
4,normal,Q,,
4,normal,R,,
4,normal,S,,
4,normal,T,,
4,normal,U,,
4,normal,END,,
5,normal,START,,
5,normal,F,,
5,normal,J,,
5,normal,K,,
5,normal,M,,
5,normal,N,,
5,normal,P,,
5,normal,O,,
5,normal,Q,,
5,normal,R,,
5,normal,S,,
5,normal,T,,
5,normal,U,,
5,normal,END,,
6,normal,START,,
6,normal,F,,
6,normal,G,,
6,normal,M,,
6,normal,Q,,
6,normal,P,,
6,normal,N,,
6,normal,O,,
6,normal,R,,
6,normal,S,,
6,normal,T,,
6,normal,U,,
6,normal,END,,
7,normal,START,,
7,normal,F,,
7,normal,L,,
7,normal,M,,
7,normal,Q,,
7,normal,P,,
7,normal,N,,
7,normal,O,,
7,normal,R,,
7,normal,S,,
7,normal,T,,
7,normal,U,,
7,normal,END,,
8,normal,START,,
8,normal,F,,
8,normal,G,,
8,normal,M,,
8,normal,N,,
8,normal,O,,
8,normal,P,,
8,normal,Q,,
8,normal,R,,
8,normal,S,,
8,normal,T,,
8,normal,U,,
8,normal,END,,
9,anomaly,START,activity_switching,"{'index1': 9, 'index2': 11, 'activity1': 'R', 'activity2': 'T'}"
9,anomaly,F,activity_switching,"{'index1': 9, 'index2': 11, 'activity1': 'R', 'activity2': 'T'}"
9,anomaly,J,activity_switching,"{'index1': 9, 'index2': 11, 'activity1': 'R', 'activity2': 'T'}"
9,anomaly,K,activity_switching,"{'index1': 9, 'index2': 11, 'activity1': 'R', 'activity2': 'T'}"
9,anomaly,M,activity_switching,"{'index1': 9, 'index2': 11, 'activity1': 'R', 'activity2': 'T'}"
9,anomaly,N,activity_switching,"{'index1': 9, 'index2': 11, 'activity1': 'R', 'activity2': 'T'}"
9,anomaly,Q,activity_switching,"{'index1': 9, 'index2': 11, 'activity1': 'R', 'activity2': 'T'}"
9,anomaly,P,activity_switching,"{'index1': 9, 'index2': 11, 'activity1': 'R', 'activity2': 'T'}"
9,anomaly,O,activity_switching,"{'index1': 9, 'index2': 11, 'activity1': 'R', 'activity2': 'T'}"
9,anomaly,T,activity_switching,"{'index1': 9, 'index2': 11, 'activity1': 'R', 'activity2': 'T'}"
9,anomaly,S,activity_switching,"{'index1': 9, 'index2': 11, 'activity1': 'R', 'activity2': 'T'}"
9,anomaly,R,activity_switching,"{'index1': 9, 'index2': 11, 'activity1': 'R', 'activity2': 'T'}"
