traceid,label,activity,anomaly_type,anomaly_details
1,normal,START,,
1,normal,F,,
1,normal,L,,
1,normal,M,,
1,normal,Q,,
1,normal,O,,
1,normal,N,,
1,normal,P,,
1,normal,R,,
1,normal,S,,
1,normal,T,,
1,normal,U,,
1,normal,END,,
2,normal,START,,
2,normal,F,,
2,normal,G,,
2,normal,M,,
2,normal,O,,
2,normal,Q,,
2,normal,N,,
2,normal,P,,
2,normal,R,,
2,normal,S,,
2,normal,T,,
2,normal,U,,
2,normal,END,,
3,normal,START,,
3,normal,F,,
3,normal,L,,
3,normal,M,,
3,normal,P,,
3,normal,N,,
3,normal,O,,
3,normal,Q,,
3,normal,R,,
3,normal,S,,
3,normal,T,,
3,normal,U,,
3,normal,END,,
4,anomaly,START,skipping_activity,"{'index': 7, 'activity': 'N'}"
4,anomaly,F,skipping_activity,"{'index': 7, 'activity': 'N'}"
4,anomaly,J,skipping_activity,"{'index': 7, 'activity': 'N'}"
4,anomaly,K,skipping_activity,"{'index': 7, 'activity': 'N'}"
4,anomaly,M,skipping_activity,"{'index': 7, 'activity': 'N'}"
4,anomaly,O,skipping_activity,"{'index': 7, 'activity': 'N'}"
4,anomaly,P,skipping_activity,"{'index': 7, 'activity': 'N'}"
4,anomaly,Q,skipping_activity,"{'index': 7, 'activity': 'N'}"
4,anomaly,R,skipping_activity,"{'index': 7, 'activity': 'N'}"
4,anomaly,S,skipping_activity,"{'index': 7, 'activity': 'N'}"
4,anomaly,T,skipping_activity,"{'index': 7, 'activity': 'N'}"
4,anomaly,U,skipping_activity,"{'index': 7, 'activity': 'N'}"
4,anomaly,END,skipping_activity,"{'index': 7, 'activity': 'N'}"
5,normal,START,,
5,normal,F,,
5,normal,J,,
5,normal,K,,
5,normal,M,,
5,normal,N,,
5,normal,P,,
5,normal,O,,
5,normal,Q,,
5,normal,R,,
5,normal,S,,
5,normal,T,,
5,normal,U,,
5,normal,END,,
6,normal,START,,
6,normal,F,,
6,normal,G,,
6,normal,M,,
6,normal,Q,,
6,normal,P,,
6,normal,N,,
6,normal,O,,
6,normal,R,,
6,normal,S,,
6,normal,T,,
6,normal,U,,
6,normal,END,,
7,anomaly,START,skipping_activity,"{'index': 6, 'activity': 'N'}"
7,anomaly,F,skipping_activity,"{'index': 6, 'activity': 'N'}"
7,anomaly,L,skipping_activity,"{'index': 6, 'activity': 'N'}"
7,anomaly,M,skipping_activity,"{'index': 6, 'activity': 'N'}"
7,anomaly,Q,skipping_activity,"{'index': 6, 'activity': 'N'}"
7,anomaly,P,skipping_activity,"{'index': 6, 'activity': 'N'}"
7,anomaly,O,skipping_activity,"{'index': 6, 'activity': 'N'}"
